"Date d'entrée"	"Date de sortie"	"Type"	"Nb barres"	"Perf abs"	"Perf relat(%)"	"MFE"	"MAE"	"Gain unitaire"
"13 févr. 2019, 09:00:00"	"22 févr. 2019, 21:00:00"	"Long"	"46"	"405,60€"	"+1,19%"	"852,80€"	"-153,40€"	"+15,6"
"6 févr. 2019, 21:00:00"	"10 févr. 2019, 21:00:00"	"Court"	"13"	"-177,50€"	"-0,54%"	"65,80€"	"-211,70€"	"-7,1"
"25 janv. 2019, 17:00:00"	"6 févr. 2019, 21:00:00"	"Long"	"51"	"191,10€"	"+0,70%"	"535,50€"	"0,00€"	"+9,1"
"9 janv. 2019, 05:00:00"	"25 janv. 2019, 17:00:00"	"Court"	"77"	"-306,60€"	"-1,14%"	"98,70€"	"-302,40€"	"-14,6"
"29 nov. 2018, 13:00:00"	"14 déc. 2018, 09:00:00"	"Long"	"67"	"299,00€"	"+1,06%"	"561,20€"	"-149,50€"	"+13,0"
"16 nov. 2018, 01:00:00"	"27 nov. 2018, 09:00:00"	"Long"	"46"	"110,20€"	"+0,48%"	"269,60€"	"0,00€"	"+5,8"
"8 nov. 2018, 01:00:00"	"16 nov. 2018, 01:00:00"	"Court"	"37"	"236,00€"	"+0,96%"	"548,10€"	"0,00€"	"+11,8"
"2 nov. 2018, 01:00:00"	"8 nov. 2018, 01:00:00"	"Long"	"25"	"-136,80€"	"-0,58%"	"45,40€"	"-142,70€"	"-7,2"
"30 oct. 2018, 05:00:00"	"2 nov. 2018, 01:00:00"	"Court"	"17"	"-110,00€"	"-0,45%"	"236,00€"	"-131,10€"	"-5,5"
"11 oct. 2018, 13:00:00"	"30 oct. 2018, 05:00:00"	"Long"	"79"	"478,00€"	"+1,99%"	"784,00€"	"0,00€"	"+23,9"
"8 oct. 2018, 17:00:00"	"11 oct. 2018, 13:00:00"	"Court"	"17"	"-354,00€"	"-1,49%"	"0,00€"	"-353,24€"	"-17,7"
"2 oct. 2018, 17:00:00"	"8 oct. 2018, 17:00:00"	"Long"	"25"	"-383,40€"	"-1,76%"	"0,00€"	"-409,19€"	"-21,3"
"24 sept. 2018, 01:00:00"	"2 oct. 2018, 17:00:00"	"Court"	"41"	"-207,90€"	"-0,83%"	"325,50€"	"-297,24€"	"-9,9"
"18 sept. 2018, 17:00:00"	"24 sept. 2018, 01:00:00"	"Long"	"21"	"-56,70€"	"-0,22%"	"194,22€"	"-68,70€"	"-2,7"
"17 sept. 2018, 01:00:00"	"18 sept. 2018, 17:00:00"	"Court"	"10"	"-124,00€"	"-0,52%"	"0,00€"	"-192,00€"	"-6,2"
"12 sept. 2018, 21:00:00"	"17 sept. 2018, 01:00:00"	"Long"	"14"	"-255,60€"	"-1,18%"	"0,00€"	"-285,80€"	"-14,2"
"9 sept. 2018, 21:00:00"	"12 sept. 2018, 21:00:00"	"Court"	"18"	"-266,70€"	"-1,06%"	"64,66€"	"-312,89€"	"-12,7"
"6 sept. 2018, 17:00:00"	"9 sept. 2018, 21:00:00"	"Long"	"8"	"-187,00€"	"-0,71%"	"0,00€"	"-180,34€"	"-8,5"
"24 août 2018, 01:00:00"	"6 sept. 2018, 17:00:00"	"Court"	"60"	"-378,00€"	"-1,59%"	"0,00€"	"-554,20€"	"-18,9"
"21 août 2018, 05:00:00"	"24 août 2018, 01:00:00"	"Long"	"17"	"-192,00€"	"-0,80%"	"38,57€"	"-222,23€"	"-9,6"
"26 juil. 2018, 21:00:00"	"21 août 2018, 05:00:00"	"Court"	"108"	"541,50€"	"+2,33%"	"963,11€"	"-45,98€"	"+28,5"
"25 juil. 2018, 21:00:00"	"26 juil. 2018, 21:00:00"	"Long"	"6"	"-172,90€"	"-0,74%"	"0,00€"	"-178,21€"	"-9,1"
"11 juil. 2018, 05:00:00"	"25 juil. 2018, 21:00:00"	"Court"	"66"	"386,00€"	"+1,54%"	"711,20€"	"-11,40€"	"+19,3"
"4 juil. 2018, 09:00:00"	"11 juil. 2018, 05:00:00"	"Long"	"30"	"-184,00€"	"-0,73%"	"83,68€"	"-218,32€"	"-9,2"
"15 juin 2018, 17:00:00"	"4 juil. 2018, 09:00:00"	"Court"	"79"	"331,50€"	"+1,52%"	"681,98€"	"-59,56€"	"+19,5"
"14 juin 2018, 01:00:00"	"15 juin 2018, 17:00:00"	"Long"	"10"	"-485,00€"	"-1,49%"	"179,69€"	"-481,06€"	"-19,4"
"13 juin 2018, 01:00:00"	"14 juin 2018, 01:00:00"	"Court"	"6"	"-111,80€"	"-0,33%"	"14,84€"	"-150,19€"	"-4,3"
"7 juin 2018, 05:00:00"	"13 juin 2018, 01:00:00"	"Long"	"24"	"-39,10€"	"-0,13%"	"81,01€"	"-54,00€"	"-1,7"
"1 juin 2018, 17:00:00"	"7 juin 2018, 05:00:00"	"Court"	"22"	"-46,00€"	"-0,18%"	"79,80€"	"-91,60€"	"-2,3"
"24 mai 2018, 09:00:00"	"1 juin 2018, 17:00:00"	"Long"	"39"	"-28,00€"	"-0,11%"	"193,40€"	"-23,80€"	"-1,4"
"10 mai 2018, 13:00:00"	"15 mai 2018, 09:00:00"	"Long"	"18"	"-95,40€"	"-0,40%"	"135,78€"	"-100,02€"	"-5,3"
"8 mai 2018, 13:00:00"	"10 mai 2018, 13:00:00"	"Court"	"12"	"-144,90€"	"-0,53%"	"38,22€"	"-143,85€"	"-6,9"
"7 mai 2018, 05:00:00"	"8 mai 2018, 13:00:00"	"Long"	"8"	"-180,60€"	"-0,65%"	"0,00€"	"-177,03€"	"-8,6"
"9 avr. 2018, 21:00:00"	"20 avr. 2018, 13:00:00"	"Long"	"53"	"51,00€"	"+0,22%"	"363,13€"	"-73,43€"	"+3,0"
"5 avr. 2018, 05:00:00"	"9 avr. 2018, 21:00:00"	"Court"	"17"	"-108,80€"	"-0,51%"	"108,67€"	"-144,46€"	"-6,8"
"3 avr. 2018, 05:00:00"	"5 avr. 2018, 05:00:00"	"Long"	"12"	"-155,80€"	"-0,61%"	"72,26€"	"-184,05€"	"-8,2"
"28 mars 2018, 21:00:00"	"3 avr. 2018, 05:00:00"	"Court"	"15"	"-219,20€"	"-1,03%"	"43,04€"	"-271,20€"	"-13,7"
"21 mars 2018, 21:00:00"	"28 mars 2018, 21:00:00"	"Long"	"31"	"-136,00€"	"-0,64%"	"343,44€"	"-156,72€"	"-8,5"
"15 mars 2018, 17:00:00"	"21 mars 2018, 21:00:00"	"Court"	"26"	"-350,00€"	"-1,33%"	"142,23€"	"-380,93€"	"-17,5"
"14 mars 2018, 01:00:00"	"15 mars 2018, 17:00:00"	"Long"	"10"	"-193,80€"	"-0,77%"	"27,23€"	"-199,88€"	"-10,2"
"8 mars 2018, 21:00:00"	"14 mars 2018, 01:00:00"	"Court"	"20"	"-81,00€"	"-0,34%"	"108,36€"	"-83,70€"	"-4,5"
"5 mars 2018, 13:00:00"	"8 mars 2018, 21:00:00"	"Long"	"20"	"-36,00€"	"-0,15%"	"270,05€"	"-86,35€"	"-2,0"
"27 févr. 2018, 17:00:00"	"5 mars 2018, 13:00:00"	"Court"	"24"	"-103,70€"	"-0,46%"	"203,49€"	"-151,98€"	"-6,1"
"2 févr. 2018, 05:00:00"	"20 févr. 2018, 17:00:00"	"Long"	"78"	"-174,40€"	"-0,81%"	"148,96€"	"-608,00€"	"-10,9"
"30 janv. 2018, 01:00:00"	"2 févr. 2018, 05:00:00"	"Court"	"19"	"-121,60€"	"-0,57%"	"72,12€"	"-126,60€"	"-7,6"
"19 janv. 2018, 17:00:00"	"30 janv. 2018, 01:00:00"	"Long"	"40"	"136,80€"	"+0,57%"	"532,90€"	"-43,10€"	"+7,6"
"10 janv. 2018, 09:00:00"	"19 janv. 2018, 17:00:00"	"Court"	"45"	"-446,00€"	"-1,70%"	"0,00€"	"-641,40€"	"-22,3"
"14 déc. 2017, 13:00:00"	"10 janv. 2018, 09:00:00"	"Long"	"105"	"1084,00€"	"+4,31%"	"1344,34€"	"-72,66€"	"+54,2"
"30 nov. 2017, 01:00:00"	"14 déc. 2017, 13:00:00"	"Court"	"65"	"594,00€"	"+2,10%"	"1024,26€"	"-11,50€"	"+27,0"
"22 nov. 2017, 17:00:00"	"30 nov. 2017, 01:00:00"	"Long"	"32"	"-98,00€"	"-0,38%"	"135,36€"	"-110,54€"	"-4,9"
